"ID","Name","Provider","Category","Auth","Limits","Description","Website"
"22","Wit.ai","Meta","AI & Agentic","NONE","❌ No Limit","Natural language processing for converting speech or text into structured data. Owned by Meta  completely free.","https://wit.ai"
"31","JSONPlaceholder","Typicode","Testing & Placeholder","NONE","❌ No Limit","Free fake REST API for testing and prototyping. 6 resources with real-looking data.","https://jsonplaceholder.typicode.com"
"32","ReqRes","ReqRes.in","Testing & Placeholder","NONE","❌ No Limit","Test your front-end against a real API. Simulates auth  delayed responses  and CRUD.","https://reqres.in"
"33","FakeStore API","FakeStoreAPI","Testing & Placeholder","NONE","❌ No Limit","E-commerce fake API with products  carts  users. Perfect for shopping app prototypes.","https://fakestoreapi.com"
"34","RandomUser","RandomUser.me","Testing & Placeholder","NONE","❌ No Limit","Random user generator with photos  names  addresses. Like Lorem Ipsum for people.","https://randomuser.me"
"35","Dog API","Dog CEO","Testing & Placeholder","NONE","❌ No Limit","Random dog images by breed. The internet's favorite free dog picture API.","https://dog.ceo"
"36","PokeAPI","Community","Testing & Placeholder","NONE","100 req / hr","Complete Pokémon database with 1300+ Pokémon  moves  items  and more.","https://pokeapi.co"
"37","Bored API","The App Brewery","Testing & Placeholder","NONE","❌ No Limit","Get random activity suggestions when you're bored. Public random activity endpoint with simple filter support.","https://bored-api.appbrewery.com"
"38","Rick & Morty API","Community","Testing & Placeholder","NONE","10,000 / day","All characters  episodes  and locations from Rick and Morty.","https://rickandmortyapi.com"
"40","Robohash","Robohash.org","Testing & Placeholder","NONE","❌ No Limit","Generate unique robot/monster avatars from any text. Great for user placeholders.","https://robohash.org"
"41","SWAPI","Community","Testing & Placeholder","NONE","❌ No Limit","Star Wars API with all films  characters  planets  and starships.","https://swapi.dev"
"41","SWAPI (Star Wars)","Community","Testing & Placeholder","NONE","❌ No Limit","Star Wars universe data. Characters  planets  starships  vehicles  species  films.","https://swapi.dev"
"46","The Office Quotes","Community","Testing & Placeholder","NONE","❌ No Limit","Random quotes from The Office TV series. Dunder Mifflin humor API.","https://officeapi.dev"
"47","Cat Facts","Community","Testing & Placeholder","NONE","❌ No Limit","Random cat facts for your applications. Because the internet needs more cats.","https://catfact.ninja"
"48","Advice Slip","Community","Testing & Placeholder","NONE","❌ No Limit","Random advice slips. Life advice from a JSON API.","https://api.adviceslip.com"
"49","Evil Insult Generator","Community","Testing & Placeholder","NONE","❌ No Limit","Generate random insults for fun. Multilingual support.","https://evilinsult.com"
"53","Open Trivia DB","Community","Testing & Placeholder","NONE","❌ No Limit","Free trivia questions database. Multiple categories  difficulties  and types.","https://opentdb.com"
"54","Numbers API","Community","Testing & Placeholder","NONE","❌ No Limit","Interesting facts about numbers. Math  trivia  dates  and year facts.","http://numbersapi.com"
"57","Deck of Cards API","Community","Testing & Placeholder","NONE","❌ No Limit","Virtual deck of cards for poker  blackjack  and card game apps.","https://deckofcardsapi.com"
"58","Studio Ghibli API","Studio Ghibli","Testing & Placeholder","NONE","❌ No Limit","Studio Ghibli films  characters  locations  species  and vehicles data.","https://ghibliapi.vercel.app"
"67","Genderize.io","Genderize","Testing & Placeholder","NONE","1000 / day","Predict gender from first name. 200+ countries  100+ languages.","https://genderize.io"
"68","Agify.io","Agify","Testing & Placeholder","NONE","1000 / day","Predict age from first name. Statistical age estimation.","https://agify.io"
"69","Nationalize.io","Nationalize","Testing & Placeholder","NONE","1000 / day","Predict nationality from first name. Returns country probabilities.","https://nationalize.io"
"71","CoinGecko","CoinGecko","Finance, Crypto & Web3","NONE","10-30 RPM","Cryptocurrency prices  market caps  and trading data. No API key required for basic usage.","https://www.coingecko.com"
"72","Coinbase","Coinbase","Finance, Crypto & Web3","NONE","10,000 / hr","Cryptocurrency exchange rates and price data from Coinbase.","https://www.coinbase.com"
"80","DefiLlama","Defi Llama","Finance, Crypto & Web3","NONE","❌ No Limit","DeFi TVL (Total Value Locked) data aggregator. Completely free and open.","https://defillama.com"
"88","Nager Date","Nager","Finance, Crypto & Web3","NONE","❌ No Limit","Worldwide public holidays API. Country codes  dates  and names.","https://date.nager.at"
"88","Nager.Date","Nager","Finance, Crypto & Web3","NONE","❌ No Limit","Public holidays API for 100+ countries. Historical and upcoming holidays.","https://date.nager.at"
"103","Chainlink Oracles","Chainlink","Finance, Crypto & Web3","NONE","❌ No Limit","Decentralized oracle network. Real-world data feeds for smart contracts.","https://chain.link"
"106","Coinpaprika","Coinpaprika","Finance, Crypto & Web3","NONE","❌ High","Crypto market data. 20 000+ coins  exchanges  historical data  OHLC charts.","https://coinpaprika.com"
"107","GeckoTerminal","CoinGecko","Finance, Crypto & Web3","NONE","❌ No Limit","Real-time DEX pricing data. Track liquidity pools across 100+ networks.","https://www.geckoterminal.com"
"115","Chess.com","Chess.com","Gaming & Esports","NONE","❌ No Limit","Public chess player profiles  stats  and game archives. No auth needed.","https://www.chess.com"
"117","FreeToGame","F2P","Gaming & Esports","NONE","❌ No Limit","Database of free-to-play games for PC and browsers.","https://www.freetogame.com"
"126","Speedrun.com","Speedrun.com","Gaming & Esports","NONE","❌ High","Global speedrun leaderboards for thousands of games.","https://speedrun.com"
"126","Speedrun.com","Speedrun.com","Gaming & Esports","NONE","❌ High","Speedrunning leaderboards and world records. 20 000+ games tracked.","https://www.speedrun.com"
"127","CheapShark","CheapShark","Gaming & Esports","NONE","❌ No Limit","Game deals and price comparison across stores. Completely free.","https://www.cheapshark.com"
"127","CheapShark","CheapShark","Gaming & Esports","NONE","❌ No Limit","PC game price comparison. Track deals across 20+ stores.","https://www.cheapshark.com"
"130","Magic: The Gathering","Scryfall","Gaming & Esports","NONE","❌ No Limit","Complete MTG card database. 70 000+ cards with images  prices  rulings.","https://scryfall.com"
"140","Minecraft Server Status","Mojang","Gaming & Esports","NONE","600 / 10 min","Check Minecraft server status  player count  version  MOTD.","https://mcsrvstat.us"
"164","Deezer API","Deezer","Music & Multimedia","NONE","Varies","Music catalog search and streaming previews. No key for basic search.","https://developers.deezer.com"
